NOM|TIPUS|CARRER|NUM|LAT|LNG
Farmàcia Tres Creus|pharmacy|Carrer de Covadonga|310|41.5463688|2.1171732
Farmàcia Segalas Carreras, M. Mercè|pharmacy|La Rambla|26|41.5454247|2.1094624
Farmacia Ortopedia Ramón Llol|pharmacy|||41.5485884|2.0985248
Farmàcia Pareja Cozcolluela, Josep Manel|pharmacy|Ronda de Zamenhof|145|41.5504459|2.1002161
Farmàcia Capdevila Bassols, Anna M.|pharmacy|Carrer Sol i Padrís|116|41.5353796|2.1194049
Farmàcia Morales|pharmacy|||41.5416509|2.1115527
Farmàcia Corominas Riqué, Cristina|pharmacy|Ronda de Ponent|1|41.5448666|2.0996551
Farmàcia Garriga Majo, Marta|pharmacy|Carrer de Sallarès i Pla|140|41.5424785|2.1139767
Farmàcia Garrell Capdevila, Joan|pharmacy|Carrer de Borràs|8|41.5516125|2.1036518
Farmàcia Bagan Tapioles, Montserrat|pharmacy|Carrer del Carme|10|41.5487159|2.1113324
Farmàcia Gili Segura, Marta|pharmacy|Plaça de l'Àngel|12|41.5493204|2.1084196
Farmàcia Mujal Viñals, Assumpció|pharmacy|Carrer de Viladomat|20|41.5400118|2.1049833
Farmàcia Bofi Martinez, Patricia|pharmacy|Avinguda de Barberà|226|41.5350045|2.1145340
Farmàcia Pons Samaranch, Isabel|pharmacy|Plaça de Marquilles|4|41.5460525|2.1056977
Farmàcia Montané Bombardó, Glòria|pharmacy|Carretera de Barcelona|219|41.5386801|2.1077842
Farmàcia Marcet Vicens, Jordi|pharmacy|Carretera de Barcelona|74|41.5418890|2.1043095
Farmàcia Montserrat Marco, M. Antònia|pharmacy|Carrer de Brutau|187|41.5379091|2.1164587
Farmàcia Anna Garriga Majó|pharmacy|Passeig de la Plaça Major|29|41.5475242|2.1084229
Farmàcia Blanchart Tintó, Meritxell|pharmacy|Carrer de Cèsar Torras|132|41.5408286|2.0959904
Farmàcia Esteban-Lopera|pharmacy|Ronda de Santa Maria|28|41.5318087|2.1212239
Farmàcia Sala Alegre|pharmacy|Carrer de Balmes|83|41.5406821|2.1188733
Farmàcia Fàbregas Martínez, Marta|pharmacy|Avinguda de Barberà|299|41.5321623|2.1161845
Farmàcia Rosell Gras, Maria|pharmacy|Avinguda de Barberà|48|41.5382021|2.1129724
Farmàcia Mercè Sora, Anabel|pharmacy|Carrer de Sant Cugat|95|41.5441024|2.1036801
Farmàcia Crusafont Sabaté, Anna M.|pharmacy|Carrer de Colom|13|41.5469636|2.1054543
Farmàcia Baqués Roviralta, Josep|pharmacy|Avinguda de l'Onze de Setembre|61|41.5530010|2.1048936
Farmàcia Blanchart|pharmacy|Via de Massagué||41.5509538|2.1073542
Restaurant Dual Mirallac|restaurant|||41.5505989|2.0976440
Bar l'Embarcador|bar|||41.5514798|2.0975406
Bar Quevedo|bar|||41.5506323|2.1149128
Covadonga|bar|||41.5469761|2.1169740
la cantonada|bar|||41.5461007|2.1177387
Picuteig|restaurant|Carrer de l'Advocat Cirera|23|41.5457827|2.1071011
Snooker|bar|Carrer de Vilarrubias|114|41.5532739|2.1110546
IBar|bar|||41.5325792|2.0969905
Fuuud|restaurant|||41.5451399|2.1095963
Viena|fast_food|||41.5459144|2.1081019
Santamasa|restaurant|Carrer de Gràcia||41.5470504|2.1077669
Urbasa|restaurant|Passeig de Manresa||41.5485938|2.1082647
Ibericus|restaurant|||41.5484236|2.1083311
Restaurant Racó del Campanar|restaurant|Carrer de l'Església|3|41.5471878|2.1082329
El Llit Bar|bar|Passeig de la Plaça Major|37|41.5476592|2.1084356
Burger King|fast_food|||41.5325121|2.1070664
Bar Restaurant Olimpic|bar|Carrer de Calderón|169|41.5461936|2.0999136
La Sandvitxeria SBD|restaurant|Carrer del Doctor Puig|4|41.5485421|2.1093996
McDonald's|fast_food|Avinguda de Francesc Macià|46|41.5534853|2.0982693
Restaurant Suis|restaurant|Carrer de l'Estació|40|41.5478123|2.1146919
L'artigiana|fast_food|||41.5459614|2.1078481
Bon Día|cafe|Plaça de Sant Jaume|41|41.5462667|2.1039078
